age,income,loan_amount,credit_score,employment_years,num_dependents,debt_ratio,risk_score,TARGET
60,56638,26314,766,35,1,0.4645949171349539,0.3575993546635953,0
41,65703,44538,644,11,0,0.6778594668572209,0.388094487461438,0
36,50561,21086,681,16,1,0.41704117574690047,0.2881169685212652,0
38,64344,2912,552,38,0,0.04526097978535185,0.22666590564541855,0
44,50562,21696,355,8,4,0.42909510924760297,0.6386942764490021,1
46,48876,19969,762,34,3,0.4085709004772883,0.2797574899516775,0
45,42055,19128,756,12,0,0.45484086040680094,0.3196671772033836,0
61,90516,29454,382,14,4,0.32539637902440877,0.6078548217537929,1
49,67338,33782,398,17,3,0.5016803542658239,0.5301292768183048,1
35,64189,26835,448,32,2,0.41806302572570936,0.5256398600950507,1
21,42488,18669,628,5,0,0.4393862730825588,0.41323015304682975,0
45,55303,31256,455,26,0,0.5651809816147779,0.48861016051443085,0
27,40255,5061,489,22,2,0.12573656848023776,0.33812808773572034,0
29,50176,12839,793,26,2,0.25587923048308153,0.15740642757903606,0
44,35817,13953,562,33,0,0.3895668963013585,0.3399318737686458,0
21,91782,19690,379,37,2,0.2145310587594422,0.38493623540386834,0
64,44861,25067,699,13,1,0.5587547575265804,0.2869093192561381,0
28,42498,17992,559,35,3,0.42336740164430164,0.44486099501312215,0
44,33487,10939,400,7,3,0.3266657466055047,0.5936228265557298,1
31,44575,29748,658,34,3,0.6673525751614897,0.4359153415370921,0
37,50102,17645,679,18,1,0.35218223427854983,0.25310147664221294,0
28,59010,21021,520,29,2,0.3562241536808447,0.5075681296463829,1
55,47093,25510,719,13,4,0.5416905842450859,0.33654068885412836,0
55,27987,20388,423,19,2,0.7284624842796048,0.5588787012726845,1
53,29708,20432,721,24,0,0.6877502078168466,0.327501753115971,0
25,73593,30304,530,39,3,0.4117815932370566,0.4243029242328054,0
62,57544,21513,362,23,2,0.3738571660707623,0.4570819018493697,0
59,72977,28627,784,13,4,0.3922775440057284,0.27851108240651756,0
61,75605,25446,782,25,0,0.33656727049150637,0.2315055517938117,0
48,63021,40168,818,37,1,0.6373725603882641,0.23392805816524528,0
27,35365,24094,454,22,1,0.6812721859265641,0.5848954908438373,1
29,63791,26379,391,21,4,0.413522759842678,0.5990266624931688,1
28,87991,31016,825,18,0,0.3524892976928209,0.15500992586620316,0
32,51051,20636,754,2,3,0.40421530872201045,0.30079210191577,0
54,66812,13621,809,18,2,0.20387360013776207,0.16123520557820958,0
53,59724,15258,482,8,0,0.25547813394426805,0.32919293041394637,0
43,87447,15354,685,27,1,0.1755881567341189,0.2851651944643462,0
44,46444,10496,704,19,4,0.22600123711957845,0.3389721011625679,0
57,83070,23178,545,6,4,0.2790128184088787,0.4729202225404929,0
55,52499,13704,770,13,2,0.26104055176510105,0.25328381480349904,0
64,46117,21948,722,8,4,0.47592024146460515,0.2847141601354188,0
60,62197,18413,364,18,4,0.2960416078024255,0.5981762113563268,1
42,66849,19583,312,13,0,0.29295055399240344,0.5412347731526536,1
47,98230,25560,512,37,3,0.2602071891944147,0.33307593632575405,0
55,66390,14581,541,35,2,0.21962078736726082,0.3418313931177645,0
21,63865,26388,792,39,0,0.4131882153705943,0.2212993646587449,0
55,91922,35673,512,16,3,0.3880720315899882,0.5442645380460582,1
57,72021,23431,637,29,0,0.3253320536217934,0.32127991212383533,0
34,47114,12179,472,8,0,0.2584933637278537,0.33508034463359415,0
23,87119,13849,463,32,4,0.15897331350094396,0.5098140236875043,1
21,45207,17517,764,24,3,0.3874785208069915,0.2797292794390748,0
25,47015,14051,796,13,2,0.2988574264399498,0.18602618365658186,0
46,43029,10088,694,10,2,0.23444247078181835,0.23087780329852342,0
34,41275,21544,607,34,3,0.5219503069527082,0.36433469186570494,0
59,66663,17788,482,13,4,0.2668292086863745,0.4488811729722274,0
47,54841,21897,809,29,1,0.3992711215720356,0.2344038054703822,0
29,10000,31863,845,3,0,3.1860688053347546,1.0,1
35,54634,17636,526,3,4,0.3228010101209156,0.4657817548860196,0
35,49641,8145,735,27,3,0.16408839461568223,0.1660534901173782,0
46,77856,16011,721,7,0,0.20564587328302816,0.16903119195539415,0
62,48734,27704,320,1,2,0.5684576099017141,0.6686692714653207,1
33,110785,26767,696,21,1,0.24161595379878797,0.2381302977493219,0
52,87935,25186,404,15,2,0.2864145156055344,0.39865749095347636,0
59,52201,13752,491,28,3,0.2634520529286847,0.40452345143919055,0
52,82992,27519,316,29,0,0.33158065295188904,0.6048706421842213,1
24,70504,29768,419,11,3,0.4222238404768963,0.5177241733811645,1
50,64669,13045,692,34,0,0.20172753934433965,0.19639173160051346,0
57,76053,19584,724,10,4,0.257505028111206,0.2703019416977396,0
43,61081,40204,428,20,1,0.6581930004089306,0.6686025892853522,1
59,64807,12601,429,20,4,0.19443977193583048,0.5284773331813194,1
35,76467,2949,328,4,4,0.03856686936578319,0.5154398631173447,1
63,101049,33829,396,19,3,0.33477512110128077,0.4754310761521301,0
49,65023,31366,309,36,1,0.4823697996468031,0.6243645851113648,1
56,50924,15430,541,2,0,0.3030006196154283,0.3743269877462309,0
33,19415,18870,531,32,0,0.9718639295656873,0.5858353526014672,1
52,99226,7750,583,8,2,0.07811023284179422,0.22190037090401887,0
27,54735,20889,499,8,0,0.38164022708598794,0.4931823144622408,0
42,70696,31659,378,3,3,0.4478132586854137,0.5673603988696764,1
48,98118,14573,472,34,4,0.14853321052943064,0.4950718215944233,0
22,64552,28771,766,16,4,0.4456957709058422,0.36922666700421763,0
62,56106,24637,715,33,4,0.4391070171197681,0.37422159466830995,0
26,88393,25778,748,23,1,0.29162652319826593,0.23346031895376557,0
48,69214,15156,386,31,0,0.21898065235208777,0.35502709389337317,0
48,71722,16453,400,0,3,0.22940664020537016,0.4893754017659189,0
64,29536,1532,307,7,1,0.05187510777384609,0.506510857183059,1
64,84118,14333,499,22,2,0.17039258729740903,0.3974975476030992,0
40,67511,31634,804,39,3,0.46857592465672604,0.288604525932934,0
50,32568,10706,386,11,3,0.32873616732460137,0.6145499096847359,1
31,69701,12196,342,11,3,0.17498535312769262,0.49019765476556837,0
48,18749,26401,684,14,4,1.4080647030904878,0.7330054097486977,1
45,106839,24027,734,18,3,0.22489301350195645,0.24201327955282245,0
59,37962,26898,707,25,0,0.7085317805488219,0.4257435461422939,0
53,92235,8367,782,28,3,0.09072072731205116,0.0598535250182847,0
21,43740,45640,316,21,4,1.0434066862943039,0.8999792847612191,1
47,71204,7842,447,39,3,0.11013846812708256,0.4376641658347687,0
33,41757,21542,576,20,2,0.5158831552364274,0.4321488498155357,0
61,79942,18413,531,37,2,0.23033129754605927,0.4194819098212114,0
23,55293,8133,665,19,4,0.1470953967504329,0.30544401047001823,0
59,69355,16297,527,28,0,0.2349871231371549,0.4359744513493784,0
26,60301,20233,735,3,0,0.3355275032428915,0.18031944572834752,0
28,32686,13500,698,6,1,0.4130075263076985,0.3372890117281683,0
47,70082,29372,510,27,4,0.41910561358178566,0.4440511693979499,0
29,49935,18383,690,27,3,0.3681442326933609,0.24285595584990882,0
57,80906,6587,798,3,4,0.08141733667500932,0.048608976874072146,0
53,55282,5738,839,21,1,0.10380517032128755,0.09643902033306125,0
62,58464,26061,790,11,4,0.44575949967065925,0.3111556089691848,0
64,93658,5132,741,2,4,0.05479733041626408,0.1572393406014288,0
44,107632,23164,560,21,1,0.21521375746104485,0.2283201770038402,0
35,75720,24446,649,1,0,0.3228474611582102,0.24080317680338587,0
52,54257,10046,651,23,3,0.18515997068715978,0.278997276439597,0
52,52506,28907,819,33,1,0.5505352626445381,0.30242222195620455,0
44,43626,2822,619,26,2,0.06468549265508879,0.2330480026346052,0
61,47495,22964,437,0,0,0.4835033492116591,0.5063720651990887,1
32,54527,19591,849,7,2,0.359285713621659,0.16563757474194224,0
59,99285,18810,667,22,0,0.18945278287555395,0.29633399563553353,0
22,56055,8221,519,37,3,0.1466560310651948,0.3084782494416132,0
23,35478,10629,636,5,3,0.2995997169430317,0.30051771732461596,0
57,60833,36188,522,21,4,0.594862060912197,0.5318762866342279,1
37,63562,32151,659,24,2,0.5058172604173151,0.4083743980888917,0
22,60712,27420,628,17,0,0.4516417502389854,0.2901712316601798,0
22,75993,29398,762,16,3,0.38684846300263587,0.28552735093845316,0
48,61380,28460,681,11,1,0.4636627676068007,0.33662272670629295,0
43,75374,16766,468,5,3,0.22243868087294444,0.3920769360751846,0
57,44393,20476,516,25,1,0.4612329191241227,0.46390538750087373,0
52,95614,5274,677,26,0,0.055167952086453045,0.09749489850892337,0
53,65049,19103,418,7,3,0.2936643931807515,0.4357956741186907,0
21,68004,31834,489,18,3,0.4681121224886672,0.5147733447903852,1
39,44309,13392,669,0,0,0.30224999245172224,0.1695513098614529,0
22,69436,30231,448,28,3,0.43537562135582897,0.4192762578275175,0
64,73021,20915,787,34,1,0.28643109108169545,0.2070338523182941,0
46,36604,6146,673,39,3,0.1679053501081732,0.3083397446990758,0
52,26818,8926,459,13,2,0.33285166748025613,0.43416911199087116,0
26,65873,29193,650,34,4,0.44316250228952575,0.3693187047638813,0
52,50224,25525,587,19,1,0.5082117298378609,0.46483822801872804,0
24,65198,21017,587,12,2,0.32235927413573906,0.302941503738977,0
31,34179,17259,525,37,0,0.5049602453091412,0.370185012799549,0
37,28789,22105,822,7,1,0.7678014170301054,0.3828766920175345,0
58,64133,28802,821,19,4,0.44910044649490777,0.28118579803686083,0
44,53004,34758,572,32,4,0.6557554915203929,0.5977328004487248,1
25,17786,35236,701,25,0,1.9810436286028157,0.7938123467178122,1
54,86861,23719,482,38,0,0.27306914868645227,0.3068315810403287,0
26,33846,18280,787,20,1,0.5400838881055928,0.2825747227293048,0
42,111466,21462,423,8,3,0.192544735125541,0.4684477244709058,0
31,47519,25221,713,23,0,0.5307418014553568,0.35428740615801557,0
36,68031,25180,471,36,3,0.370128633689002,0.49243088178079186,0
53,92938,33079,587,16,2,0.35592719406071976,0.38187789453969956,0
29,89588,41157,734,23,4,0.4594006573332582,0.3286558733003959,0
26,99722,17947,412,20,3,0.17997174836309648,0.5300801210245065,1
36,29538,41558,421,38,4,1.406891922600581,0.8996246479193336,1
49,37282,31722,843,38,3,0.8508383270316148,0.4233863760392563,0
23,64519,18991,521,12,2,0.29435046179664826,0.34762429512689896,0
40,76794,34985,338,10,0,0.4555663281004403,0.581331467791424,1
56,59775,36856,796,18,2,0.616571949588527,0.2740547545595946,0
39,27240,15397,532,10,0,0.5652133965774994,0.4945571705485955,0
46,69931,37322,829,12,0,0.5336877532883846,0.23435612855807159,0
23,56114,30750,448,0,4,0.5479870879080148,0.6787943363635912,1
39,55875,43685,696,39,2,0.7818279518192695,0.45068579532063513,0
40,14440,15759,601,18,3,1.0912355143746972,0.6988636467080317,1
52,75949,16465,659,11,2,0.21679505273741198,0.22664543976353235,0
27,62904,1000,537,7,4,0.01589696699905447,0.2996006012009516,0
61,95903,25711,535,7,0,0.2680999869972606,0.3416194960717768,0
53,58509,23752,502,11,4,0.4059505843083033,0.41911292195400385,0
60,71326,14370,555,32,1,0.20146510559336978,0.24425142988787335,0
59,76636,19181,534,25,1,0.2502890470597507,0.37992807200611667,0
38,25076,6887,644,38,3,0.2746572051854381,0.31238110387789614,0
60,112333,31984,833,27,4,0.28472381566201826,0.17660784982338487,0
21,51384,15103,765,4,3,0.29391769014756963,0.2025382368590134,0
31,69891,50940,840,7,3,0.7288423302999654,0.32388939089535096,0
48,72811,18243,512,24,1,0.2505607125090642,0.3716713790593412,0
45,43704,12403,762,26,3,0.2838055485237045,0.25977661012112274,0
43,96939,15876,735,22,1,0.1637793424732875,0.0645434149439102,0
51,65319,5880,582,29,0,0.09002420004851708,0.30156102505562077,0
50,55730,24822,762,22,4,0.4453979859988541,0.38924742934271017,0
62,62770,15801,706,19,3,0.251723931683967,0.14888571132288086,0
55,75285,31312,387,17,1,0.4159141090684472,0.5773914609807995,1
27,60215,17252,343,17,2,0.2865060624760244,0.5760925434743311,1
36,77638,33844,760,1,3,0.43591700495837,0.299845868025043,0
46,26302,27574,577,3,0,1.0483204709486065,0.5530311543181029,1
22,45040,20285,720,29,0,0.4503829276833846,0.3254640299971416,0
21,17223,35802,652,32,2,2.0785102444235677,1.0,1
32,99940,29522,814,35,1,0.29540315205200823,0.19178820351364073,0
25,99679,49462,318,17,3,0.49620495773785916,0.756353128797113,1
57,72532,15905,322,36,1,0.21928469914294493,0.5043069264958514,1
52,39747,20766,712,18,0,0.5224370392430153,0.26349947501531557,0
29,107797,35687,329,27,1,0.33105347889371467,0.5145451611471421,1
61,47911,4564,407,39,0,0.09526953996092564,0.32081816152995923,0
55,55735,33169,666,19,1,0.5951077463418382,0.4135400371421435,0
39,63190,24393,580,32,2,0.3860165161738038,0.3504693083989741,0
36,69030,11117,427,11,4,0.1610557734125773,0.4284170351304981,0
23,72876,6369,528,14,2,0.08740204545471415,0.24492159737318303,0
40,73679,13275,410,38,2,0.18017186935106722,0.42546537560641084,0
44,57109,1000,435,1,4,0.017509909380807296,0.3976600078765253,0
53,73362,15104,661,28,4,0.20588854932280287,0.16557168541712108,0
44,56215,26225,485,9,3,0.466507191732433,0.5250394196214371,1
31,71586,15236,428,1,3,0.2128456138663189,0.44976351421382676,0
28,69945,33883,560,10,2,0.48441257913537517,0.4064272953408465,0
56,75256,36599,814,12,2,0.48632042278637416,0.36214401836321963,0
58,72759,32756,748,9,0,0.4501964605477608,0.30218670377061335,0
60,51151,22306,403,13,0,0.4360778734833364,0.44470534427515307,0
40,69174,1000,782,17,3,0.014456047115132252,0.15714889187128306,0
55,73067,12963,523,8,3,0.17740801173676826,0.43100726150803226,0
45,34177,18579,790,38,0,0.5436051344805568,0.26768582569759725,0
55,54519,11061,772,27,0,0.20288519090731283,0.15595493948116126,0
45,72162,18604,309,2,1,0.25781735262103267,0.5335002489466797,1
49,94185,36100,704,19,1,0.3832878446124404,0.1752077908743805,0
38,76498,3542,601,5,0,0.04630432466405458,0.19026940123444505,0
38,95447,38116,530,26,1,0.3993451620977723,0.40052136903605173,0
22,52032,28847,365,1,4,0.5543975778662086,0.7259983476321576,1
55,65003,22682,411,28,3,0.348930612009752,0.5355335123941761,1
36,76114,12863,312,37,3,0.16900368032051252,0.5039945394476726,1
61,13472,11260,692,2,0,0.8357225163494619,0.4447166722346136,0
56,90216,3737,799,15,2,0.04143143961216012,0.14483294771586652,0
53,22781,37167,533,29,0,1.63139082622378,0.8739011956261459,1
24,79938,35376,613,39,1,0.4425344446249491,0.33446985192521106,0
53,73736,5937,311,1,2,0.08051727789858608,0.4504222382964205,0
34,13208,14473,508,16,1,1.0957352337889508,0.7540893570688657,1
41,14218,24331,313,11,4,1.7110993619505253,1.0,1
40,88649,17004,717,34,1,0.19181935894610652,0.19566928048988386,0
28,84294,1000,736,0,4,0.011863037737732013,0.1772313272697588,0
27,42382,13422,676,14,4,0.31668456998917205,0.3052351476692112,0
23,42362,39510,319,25,1,0.9326522981962339,0.769554073849635,1
37,70252,14100,369,36,1,0.20070593620410612,0.41693648298654734,0
53,59745,18365,510,20,4,0.3073894599038179,0.43549160502484424,0
32,81087,8548,400,30,2,0.1054179462856049,0.4767493389864076,0
42,69591,25877,431,24,4,0.3718444630309973,0.47957360466533766,0
42,91660,21151,680,22,3,0.23075654719132618,0.24150410619587978,0
50,79401,12579,431,23,4,0.15843070158110642,0.3853854083368459,0
58,74415,6953,319,37,2,0.0934396227674927,0.3900127316886246,0
58,52957,34045,835,27,3,0.6428699858179762,0.3187233452687094,0
28,51493,3944,526,20,0,0.07660158199819385,0.23539713238357718,0
47,58964,25038,453,17,0,0.4246215320334115,0.5466632125878435,1
47,96818,1000,768,35,2,0.010328459321807816,0.0896254627274666,0
54,51874,27072,704,34,4,0.5218670471739596,0.4594025042963323,0
41,65210,29702,501,8,1,0.4554864180618352,0.5044158667317888,1
50,15103,30947,337,37,2,2.0488550986969916,1.0,1
53,73516,18387,487,29,3,0.25011727414890084,0.5295550496468063,1
48,105143,35840,356,33,3,0.34086307265085775,0.5690459524043293,1
53,41327,43077,319,31,0,1.0423361659662895,0.8787768364805103,1
25,123488,16783,572,2,3,0.13591213873786337,0.3863769584970581,0
39,63644,15489,418,2,2,0.24337735962947948,0.4722666908863237,0
24,10000,21491,815,27,3,2.1489623641085247,0.9826819919828121,1
55,52289,15223,520,14,2,0.2911288978266269,0.4276573569522659,0
37,86608,13761,825,22,1,0.15888851614366578,0.04452488689152252,0
64,99986,14632,814,39,0,0.1463446671740015,0.08758478823268777,0
48,74361,37157,635,10,3,0.4996782618802894,0.46994999062911164,0
50,91351,27718,354,31,2,0.303425763875686,0.5984082227476729,1
49,36444,15190,799,35,4,0.41680390177448406,0.2477850609055668,0
26,46394,1000,835,32,0,0.021553689864119274,0.04597231777401359,0
55,26410,4555,461,23,1,0.17247414364839952,0.37944487120689047,0
61,47898,25034,458,38,2,0.5226394051480454,0.5282573324569141,1
57,75238,1000,487,33,1,0.01329091233348344,0.3071165670549241,0
44,64253,22929,359,27,1,0.35686329484327434,0.5307383191708187,1
49,77356,9344,618,36,3,0.12079377800164973,0.30411578697597064,0
51,41269,20918,510,6,3,0.506849842289427,0.582103414795103,1
55,42489,20638,705,3,2,0.4857218266154459,0.37895422827326963,0
53,64092,21205,408,36,4,0.33086034013651106,0.5493303093550259,1
41,47947,16055,375,0,2,0.33485790504291124,0.6126317538774122,1
52,86036,15727,841,0,4,0.18279303081212284,0.21515999649900164,0
43,47451,12792,613,19,1,0.26957616222779884,0.29557645175405745,0
53,50092,24838,416,18,0,0.4958540413570482,0.45312591959129656,0
23,68376,28051,318,28,2,0.41024910946254645,0.5416196005801088,1
38,52214,7810,731,9,2,0.14957846307332517,0.23303960807317656,0
45,35301,19483,649,17,4,0.5519135853894951,0.41543788215624605,0
62,38012,21965,482,27,1,0.5778367983091459,0.4683743895355317,0
51,70755,21837,412,34,1,0.30863266494031727,0.42409599897570427,0
23,32825,21667,482,30,4,0.6600617845801572,0.577299905078603,1
60,87943,15979,780,26,1,0.18170198610777633,0.18612309519203743,0
44,46192,22790,445,10,3,0.49337122924527277,0.5440611148053016,1
52,72324,26180,412,37,0,0.36197957278187864,0.3947205556231568,0
42,47391,21410,775,4,2,0.4517646196700899,0.2768073603251267,0
43,41695,25059,602,7,0,0.6009999700906251,0.43188269667750995,0
22,64922,29903,417,33,2,0.46059948229681374,0.5151848786163439,1
47,81035,1490,460,11,3,0.01839409779772017,0.4087883477601549,0
62,55052,29434,700,37,1,0.5346537623049452,0.3219093544009347,0
22,58690,23424,497,0,4,0.39910883927520857,0.5517904128629897,1
46,76148,8883,559,30,3,0.11666215203071756,0.34814097624754925,0
37,76810,28024,346,3,0,0.3648502164793232,0.5588177165400692,1
60,59230,16016,698,4,4,0.2704115439502198,0.24378435625971484,0
53,51130,17380,377,29,1,0.33991509925206426,0.504884208514184,1
29,61653,14923,423,23,3,0.2420471230741376,0.4647244739267591,0
63,56181,23023,374,2,4,0.40980514794482753,0.5190064688234208,1
59,66259,12146,436,10,3,0.18331391529727278,0.48967061834255665,0
49,36114,29014,699,3,3,0.8033856050546725,0.45031127717763386,0
62,65543,18611,804,25,1,0.28394963366755666,0.13655774036900192,0
46,45633,16357,799,26,2,0.35845293427959246,0.1698094330088436,0
55,78117,27528,437,26,4,0.3523962683781161,0.5563832644546958,1
45,46550,16804,349,5,1,0.360984731994626,0.4524641450896295,0
44,46897,29481,553,14,3,0.628625153023751,0.5583491628922576,1
33,68907,29795,725,29,1,0.4323954733748784,0.33609548955914653,0
27,60284,6651,846,36,2,0.11034146771537957,0.11390533151794477,0
56,105533,31092,601,36,4,0.29462156687689045,0.4145720767329381,0
40,27413,5379,648,36,2,0.19623018531358885,0.3033813517301652,0
21,62197,31715,348,34,0,0.5099163190909481,0.5215894997506856,1
28,82592,40283,373,22,4,0.48773006448642237,0.693740227776281,1
36,48433,28748,560,5,2,0.5935482535619901,0.4653294815693687,0
34,41788,1000,655,3,3,0.02392925949692093,0.2080707337867166,0
32,42582,30635,559,17,4,0.7194220352867475,0.5627800697132755,1
43,27760,42461,594,8,4,1.5294874880072982,0.9025759575368401,1
35,86994,16969,612,28,1,0.19506483749074696,0.24421587884106616,0
48,53407,19652,481,12,3,0.367973458147327,0.4789015617949495,0
54,51039,8115,663,16,0,0.15899412398093557,0.1378317047837797,0
22,17518,23120,487,31,2,1.319752460759567,0.8901643794374174,1
52,31325,32691,842,21,1,1.043571064733132,0.47679698038436835,0
43,89307,26977,847,3,2,0.3020684720709943,0.1483975718472951,0
42,66062,51419,707,4,0,0.7783416067941421,0.3918839040029707,0
45,83330,20330,713,36,0,0.24397002772222764,0.22945695814388348,0
42,80799,3693,641,12,4,0.045708261495427754,0.21491886184531878,0
42,39987,21709,519,33,0,0.5428975448535183,0.4641599871166534,0
62,108596,1000,462,21,2,0.009208276564058718,0.3839351020962672,0
26,98994,14668,519,22,3,0.14817782870292998,0.319436146982227,0
35,48724,36243,569,2,3,0.7438341992010536,0.580333463927728,1
63,10000,23251,699,33,4,2.3249011585159196,1.0,1
57,52869,21794,481,31,2,0.4122190367125531,0.4683875288901842,0
53,64765,38207,504,20,2,0.5899277080722606,0.5024216111050206,1
28,48645,17294,527,20,0,0.3555026295891326,0.4378529187931118,0
64,55569,32618,549,10,2,0.5869691661260934,0.46382255068425665,0
64,43426,21293,740,38,1,0.49030921427357455,0.2055262568389985,0
25,78432,23800,832,3,0,0.30344706859276366,0.16649796366353486,0
59,61272,7826,495,0,1,0.12773760906868922,0.26921252821712316,0
24,79030,15179,818,27,4,0.19206992231340383,0.2146957255741534,0
26,84444,6024,369,23,3,0.07134599913304865,0.5051020818198171,1
52,16513,19047,698,34,4,1.1533813372874313,0.6834134212331835,1
50,44589,23904,502,12,3,0.5360781676577702,0.5810975502504843,1
55,47519,8899,447,33,4,0.18727991143481013,0.5490069054609824,1
60,111427,40491,771,10,2,0.36338825718743467,0.29114917594379486,0
36,62980,22781,498,35,1,0.3617126016641531,0.43721600761027185,0
33,76251,20577,725,16,3,0.269867002356364,0.3405547167010681,0
62,22386,27696,791,34,0,1.2371632580708898,0.6255352772345194,1
50,62864,11710,441,17,1,0.18628269499217573,0.48040739791458537,0
39,79565,21634,612,39,0,0.27190685781654295,0.2572478434101303,0
37,77239,12831,464,21,1,0.16612231586123158,0.2994761414462638,0
39,72467,35586,613,23,1,0.49106244892894935,0.36113171727031607,0
48,60260,9413,320,18,4,0.15621388499357394,0.5631232171739853,1
46,61231,20631,381,36,3,0.33694031082253056,0.5438271817824522,1
57,26134,23293,430,38,3,0.8912399052056225,0.7116400990039815,1
