CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
137,Male,33,20,6,2
138,Male,43,80,5,4
139,Male,43,89,5,4
140,Male,65,18,54,2
141,Female,38,93,47,4
142,Male,56,148,87,1
143,Female,53,132,49,3
144,Female,50,127,9,3
145,Female,47,108,99,1
146,Male,54,76,20,4
147,Male,40,93,61,1
148,Male,27,40,35,2
149,Male,22,58,50,2
150,Female,53,147,82,1
151,Male,51,84,62,1
152,Male,69,132,17,3
153,Male,48,82,88,0
154,Male,27,33,3,2
155,Male,36,34,32,2
156,Female,49,127,99,1
157,Male,18,61,13,4
158,Female,22,15,89,0
159,Male,62,104,73,1
160,Female,21,78,68,0
161,Male,33,52,14,2
162,Male,41,51,98,0
163,Female,33,140,11,3
164,Female,19,114,56,1
165,Female,66,91,67,1
166,Male,45,17,92,0
167,Female,49,148,29,3
168,Male,44,24,9,2
169,Male,37,19,67,0
170,Female,41,144,25,3
171,Female,29,27,98,0
172,Male,67,144,76,1
173,Male,52,98,42,4
174,Female,50,79,9,4
175,Female,50,77,79,0
176,Female,68,115,40,3
177,Male,60,87,25,4
178,Male,54,31,5,2
179,Male,29,23,11,2
180,Male,20,52,59,0
181,Male,18,108,98,1
182,Male,50,109,88,1
183,Female,57,63,79,0
184,Male,27,83,38,4
185,Male,60,76,72,0
186,Male,61,92,5,4
187,Female,46,131,48,3
188,Male,30,134,90,1
189,Male,29,90,18,4
190,Female,48,49,70,0
191,Male,63,15,37,2
192,Male,19,54,60,0
193,Male,68,78,48,4
194,Male,67,74,77,0
195,Male,52,78,28,4
196,Female,40,107,69,1
197,Female,34,86,77,1
198,Female,43,25,81,0
199,Male,25,119,40,3
200,Male,46,28,45,2
201,Male,43,74,96,0
202,Female,27,44,62,0
203,Male,43,49,93,0
204,Male,51,19,58,0
205,Female,68,97,67,1
206,Male,58,137,56,1
207,Female,24,92,40,4
208,Female,21,76,98,0
209,Female,70,146,40,3
210,Male,67,103,91,1
211,Male,62,56,77,0
212,Male,28,103,33,4
213,Male,46,54,6,2
214,Male,53,86,88,1
215,Male,42,53,19,2
216,Male,38,118,80,1
217,Female,53,28,40,2
218,Male,27,46,92,0
219,Female,54,139,97,1
220,Male,26,111,59,1
221,Male,41,37,59,0
222,Male,52,77,48,4
223,Female,66,67,41,4
224,Female,52,118,13,3
225,Female,65,118,45,3
226,Female,53,53,89,0
227,Male,35,148,53,3
228,Female,66,81,42,4
229,Male,56,149,100,1
230,Male,49,56,63,0
231,Female,41,29,27,2
232,Female,40,125,38,3
233,Female,49,47,60,0
234,Female,54,52,7,2
235,Female,29,111,5,3
236,Female,66,47,45,2
237,Female,30,100,58,1
238,Female,40,80,31,4
239,Male,42,24,23,2
240,Female,52,19,42,2
241,Female,58,137,10,3
242,Male,47,88,32,4
243,Female,34,111,53,1
244,Male,66,132,30,3
245,Male,37,52,39,2
246,Female,65,61,31,4
247,Male,42,123,82,1
248,Male,39,29,100,0
249,Male,30,19,2,2
250,Male,36,61,78,0
251,Female,66,82,77,0
252,Male,53,90,93,1
253,Female,29,144,12,3
254,Male,58,109,39,3
255,Male,36,129,66,1
256,Male,29,50,96,0
257,Male,26,40,13,2
258,Female,24,57,46,2
259,Female,45,41,27,2
260,Male,31,83,17,4
261,Male,48,25,95,0
262,Female,69,88,98,1
263,Male,36,118,60,1
264,Male,64,52,64,0
265,Male,33,148,88,1
266,Female,70,37,35,2
267,Female,22,61,70,0
268,Female,52,104,83,1
269,Male,29,60,30,4
270,Male,42,121,71,1
271,Female,69,118,74,1
272,Female,38,125,96,1
273,Female,53,118,98,1
274,Female,70,74,63,0
275,Male,40,114,28,3
276,Female,33,82,60,0
277,Male,56,147,79,1
278,Female,62,134,94,1
279,Male,70,51,37,2
280,Female,59,86,93,1
281,Female,56,141,22,3
282,Female,31,120,68,1
283,Female,48,106,20,4
284,Male,22,45,96,0
285,Female,52,136,100,1
286,Male,40,65,68,0
287,Male,46,43,91,0
288,Male,60,54,64,0
289,Male,28,55,17,2
290,Female,35,25,12,2
291,Male,64,15,22,2
292,Male,29,60,17,4
293,Male,26,115,10,3
294,Female,27,104,65,1
295,Female,61,124,22,3
296,Female,34,71,90,0
297,Female,55,15,82,0
298,Male,24,77,50,4
299,Male,63,69,14,4
300,Female,30,129,64,1
301,Male,57,67,47,4
302,Male,59,71,29,4
303,Male,26,131,76,1
304,Female,67,49,36,2
305,Female,44,77,99,0
306,Male,19,39,52,2
307,Female,22,104,76,1
308,Female,46,89,7,4
309,Female,54,52,29,2
310,Female,55,144,11,3
311,Female,36,149,33,3
312,Male,25,105,6,4
313,Female,65,31,79,0
314,Male,62,142,32,3
315,Male,18,122,51,3
316,Female,39,39,75,0
317,Male,69,102,58,1
318,Male,34,43,87,0
319,Male,24,77,26,4
320,Female,42,128,98,1
321,Female,62,63,46,4
322,Male,21,95,98,1
323,Female,53,98,29,4
324,Female,23,119,4,3
325,Female,48,132,81,1
326,Female,36,100,99,1
327,Male,61,77,13,4
328,Male,56,118,39,3
329,Female,44,63,15,4
330,Female,27,85,29,4
331,Male,43,15,29,2
332,Male,36,137,75,1
333,Female,56,76,32,4
334,Male,20,46,2,2
335,Female,62,43,47,2
336,Female,30,63,78,0
337,Male,67,44,84,0
338,Male,45,33,22,2
339,Female,37,32,75,0
340,Female,45,15,27,2
341,Male,25,92,67,1
342,Female,58,129,81,1
343,Male,56,127,56,1
344,Female,18,128,92,1
345,Male,20,77,93,0
346,Male,30,146,21,3
347,Male,45,143,47,3
348,Female,66,22,80,0
349,Female,42,69,59,0
350,Male,50,117,84,1
351,Female,55,145,6,3
352,Male,70,46,19,2
353,Male,23,24,57,0
354,Female,61,124,69,1
355,Female,62,138,3,3
356,Male,49,101,1,4
357,Female,62,69,58,0
358,Female,64,46,38,2
359,Male,38,149,15,3
360,Male,33,107,34,3
361,Female,38,22,61,0
362,Male,28,79,35,4
363,Male,54,71,64,0
364,Female,53,81,25,4
365,Male,52,86,24,4
366,Male,36,68,12,4
367,Female,37,81,18,4
368,Female,35,65,15,4
369,Male,64,111,80,1
370,Male,58,106,27,3
371,Female,66,22,72,0
372,Female,31,49,60,0
373,Female,32,110,46,3
374,Female,48,102,89,1
375,Male,18,92,17,4
376,Female,70,46,93,0
377,Female,20,134,53,3
378,Male,33,60,8,4
379,Female,40,69,79,0
380,Male,28,21,27,2
381,Female,29,88,46,4
382,Female,27,21,50,2
383,Female,49,99,71,1
384,Male,33,126,3,3
385,Male,25,139,93,1
386,Female,55,50,64,0
387,Male,29,43,44,2
388,Male,41,96,53,1
389,Male,45,16,24,2
390,Male,70,143,60,1
391,Male,25,61,3,4
392,Male,45,25,20,2
393,Female,53,144,46,3
394,Female,43,133,15,3
395,Male,25,34,25,2
396,Female,67,19,94,0
397,Female,45,51,78,0
398,Female,45,67,71,0
399,Female,54,113,17,3
400,Male,58,100,84,1
401,Female,53,122,100,1
402,Female,44,38,9,2
403,Male,34,95,38,4
404,Male,26,134,48,3
405,Female,50,73,60,0
406,Female,70,142,63,1
407,Female,37,128,86,1
408,Female,30,129,2,3
409,Female,45,28,88,0
410,Female,65,23,72,0
411,Male,46,54,11,2
412,Female,30,39,64,0
413,Female,63,117,77,1
414,Male,52,36,81,0
415,Male,23,18,72,0
416,Male,35,43,21,2
417,Male,68,123,18,3
418,Female,22,112,94,1
419,Female,64,51,64,0
420,Female,42,89,82,1
421,Female,19,84,95,1
422,Female,27,142,38,3
423,Female,47,99,32,4
424,Male,67,56,11,2
425,Female,62,114,45,3
426,Male,22,55,89,0
427,Male,50,48,33,2
428,Female,18,31,41,2
429,Male,35,136,8,3
430,Female,49,90,11,4
431,Male,64,101,86,1
432,Female,66,131,51,3
433,Male,28,120,88,1
434,Female,38,100,41,4
435,Female,43,41,17,2
436,Female,42,71,76,0
437,Female,39,45,46,2
438,Female,44,148,32,3
439,Male,66,112,79,1
440,Male,30,26,80,0
441,Male,50,67,54,0
442,Female,51,136,86,1
443,Male,58,60,92,0
444,Female,52,78,20,4
445,Female,18,144,33,3
446,Male,38,68,74,0
447,Male,65,121,40,3
448,Female,23,65,32,4
449,Male,45,50,97,0
450,Female,34,129,2,3
451,Female,22,40,97,0
452,Female,48,43,33,2
453,Female,22,25,77,0
454,Female,55,54,30,2
455,Male,20,25,33,2
456,Male,70,127,77,1
457,Female,40,53,26,2
458,Female,54,68,22,4
459,Male,70,112,66,1
460,Male,54,69,38,4
461,Female,27,125,90,1
462,Male,27,83,46,4
463,Female,36,70,15,4
464,Male,34,47,98,0
465,Female,38,50,44,2
466,Male,31,95,49,4
467,Female,26,123,75,1
468,Male,63,87,61,1
469,Male,18,54,67,0
470,Female,68,31,6,2
471,Male,62,143,9,3
472,Female,30,75,6,4
473,Male,21,118,73,1
474,Female,18,56,95,0
475,Male,66,39,32,2
476,Female,57,53,41,2
477,Male,49,49,76,0
478,Female,51,145,8,3
479,Male,45,122,72,1
480,Female,48,116,50,3
481,Female,25,112,92,1
482,Female,56,26,62,0
483,Male,43,33,84,0
484,Female,51,115,62,1
485,Male,20,58,7,4
486,Female,67,63,75,0
487,Male,29,31,84,0
488,Female,18,88,80,1
489,Male,61,71,4,4
490,Male,22,69,6,4
491,Female,47,61,58,0
492,Male,47,26,22,2
493,Male,34,76,26,4
494,Female,65,94,3,4
495,Male,64,97,41,4
496,Male,40,22,60,0
497,Male,32,95,14,4
498,Female,54,132,75,1
499,Male,38,39,82,0
500,Female,31,103,12,4
