Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity
16/12/2006,00:36:00,2.729,0.189,241.972,10.749
16/12/2006,00:37:00,2.629,0.223,238.884,8.313
16/12/2006,00:38:00,2.64,0.152,241.611,9.07
16/12/2006,00:39:00,2.868,0.184,241.355,11.516
16/12/2006,00:40:00,2.889,0.166,238.09,9.739
16/12/2006,00:41:00,2.865,0.183,241.948,10.84
16/12/2006,00:42:00,2.689,0.205,241.397,10.237
16/12/2006,00:43:00,2.827,0.196,240.204,9.895
16/12/2006,00:44:00,2.813,0.195,238.475,11.364
16/12/2006,00:45:00,2.831,0.197,238.282,9.763
16/12/2006,00:46:00,2.93,0.204,238.925,8.219
16/12/2006,00:47:00,2.834,0.18,241.085,9.197
16/12/2006,00:48:00,2.901,0.214,238.089,10.551
16/12/2006,00:49:00,2.809,0.213,240.875,10.396
16/12/2006,00:50:00,2.84,0.208,237.516,8.433
16/12/2006,00:51:00,2.888,0.211,239.592,9.276
16/12/2006,00:52:00,2.571,0.206,240.219,9.418
16/12/2006,00:53:00,2.737,0.241,244.89,9.635
16/12/2006,00:54:00,2.709,0.198,237.245,8.624
16/12/2006,00:55:00,2.677,0.194,242.944,9.372
16/12/2006,00:56:00,2.724,0.185,240.3,9.271
16/12/2006,00:57:00,2.981,0.179,240.822,10.772
16/12/2006,00:58:00,2.618,0.175,240.237,10.809
16/12/2006,00:59:00,2.883,0.182,240.889,9.854
16/12/2006,01:00:00,2.475,0.199,239.693,9.608
16/12/2006,01:01:00,2.666,0.207,242.908,10.14
16/12/2006,01:02:00,2.728,0.201,239.087,9.183
16/12/2006,01:03:00,2.779,0.185,242.264,8.853
16/12/2006,01:04:00,2.783,0.218,238.711,9.06
16/12/2006,01:05:00,2.781,0.215,239.879,9.365
16/12/2006,01:06:00,2.594,0.197,237.856,8.837
16/12/2006,01:07:00,2.561,0.187,240.91,10.162
16/12/2006,01:08:00,2.743,0.211,242.89,10.73
16/12/2006,01:09:00,2.568,0.204,239.845,8.413
16/12/2006,01:10:00,2.387,0.171,239.606,10.025
16/12/2006,01:11:00,2.39,0.199,237.771,9.78
16/12/2006,01:12:00,2.402,0.205,239.541,10.342
16/12/2006,01:13:00,2.595,0.182,236.814,9.987
16/12/2006,01:14:00,2.521,0.204,238.174,8.546
16/12/2006,01:15:00,2.582,0.171,240.454,8.738
16/12/2006,01:16:00,2.393,0.227,242.638,10.029
16/12/2006,01:17:00,2.459,0.225,245.618,11.029
16/12/2006,01:18:00,2.506,0.195,238.827,7.786
16/12/2006,01:19:00,2.343,0.207,242.871,10.346
16/12/2006,01:20:00,2.434,0.152,240.488,11.19
16/12/2006,01:21:00,2.243,0.177,239.698,9.847
16/12/2006,01:22:00,2.263,0.194,240.865,10.55
16/12/2006,01:23:00,2.236,0.179,240.124,9.297
16/12/2006,01:24:00,2.089,0.214,240.221,9.881
16/12/2006,01:25:00,2.316,0.24,239.183,8.379
16/12/2006,01:26:00,2.147,0.176,237.204,7.656
16/12/2006,01:27:00,2.193,0.183,236.913,10.943
16/12/2006,01:28:00,2.238,0.205,241.306,9.015
16/12/2006,01:29:00,2.206,0.232,239.447,9.544
16/12/2006,01:30:00,2.213,0.176,238.808,8.614
16/12/2006,01:31:00,2.072,0.205,240.017,8.59
16/12/2006,01:32:00,1.996,0.236,241.59,9.826
16/12/2006,01:33:00,2.021,0.167,240.361,9.27
16/12/2006,01:34:00,1.754,0.174,238.688,10.378
16/12/2006,01:35:00,1.763,0.192,242.453,10.453
16/12/2006,01:36:00,1.755,0.19,243.158,10.321
16/12/2006,01:37:00,1.777,0.216,240.989,10.239
16/12/2006,01:38:00,1.96,0.205,241.947,11.578
16/12/2006,01:39:00,1.738,0.165,242.484,8.932
16/12/2006,01:40:00,1.791,0.21,242.26,9.945
16/12/2006,01:41:00,2.016,0.188,241.228,11.133
16/12/2006,01:42:00,1.742,0.225,241.197,11.265
16/12/2006,01:43:00,1.881,0.187,241.039,8.578
16/12/2006,01:44:00,1.604,0.187,237.805,9.688
16/12/2006,01:45:00,1.689,0.211,241.401,11.358
16/12/2006,01:46:00,1.552,0.215,237.288,10.508
16/12/2006,01:47:00,1.619,0.209,238.411,10.195
16/12/2006,01:48:00,1.772,0.166,242.607,9.782
16/12/2006,01:49:00,1.363,0.211,241.68,9.616
16/12/2006,01:50:00,1.664,0.179,242.975,10.288
16/12/2006,01:51:00,1.612,0.205,239.457,9.748
16/12/2006,01:52:00,1.465,0.172,237.696,9.957
16/12/2006,01:53:00,1.315,0.209,239.519,10.079
16/12/2006,01:54:00,1.521,0.184,240.204,9.322
16/12/2006,01:55:00,1.41,0.174,240.158,10.532
16/12/2006,01:56:00,1.504,0.214,242.267,12.914
16/12/2006,01:57:00,1.453,0.205,239.277,8.223
16/12/2006,01:58:00,1.671,0.188,240.704,10.324
16/12/2006,01:59:00,1.376,0.229,238.023,9.24
16/12/2006,02:00:00,1.241,0.191,240.901,10.577
16/12/2006,02:01:00,1.404,0.201,240.006,10.047
16/12/2006,02:02:00,1.394,0.205,238.5,10.762
16/12/2006,02:03:00,1.549,0.188,239.528,11.176
16/12/2006,02:04:00,1.456,0.209,239.632,10.192
16/12/2006,02:05:00,1.37,0.189,239.46,11.132
16/12/2006,02:06:00,1.522,0.192,243.543,7.656
16/12/2006,02:07:00,1.112,0.227,239.803,11.59
16/12/2006,02:08:00,1.182,0.179,239.512,10.375
16/12/2006,02:09:00,1.128,0.152,235.805,11.078
16/12/2006,02:10:00,1.198,0.232,238.212,8.78
16/12/2006,02:11:00,1.041,0.251,239.474,9.169
16/12/2006,02:12:00,1.334,0.192,238.628,10.146
16/12/2006,02:13:00,1.198,0.161,242.763,9.983
16/12/2006,02:14:00,1.003,0.194,239.67,10.283
16/12/2006,02:15:00,1.066,0.194,242.577,11.085
16/12/2006,02:16:00,1.26,0.196,240.123,8.235
16/12/2006,02:17:00,1.334,0.178,240.074,10.974
16/12/2006,02:18:00,1.505,0.212,239.822,10.008
16/12/2006,02:19:00,1.64,0.21,240.008,9.796
16/12/2006,02:20:00,1.263,0.17,243.438,8.529
16/12/2006,02:21:00,1.052,0.214,235.361,10.503
16/12/2006,02:22:00,0.88,0.241,235.997,7.586
16/12/2006,02:23:00,1.241,0.203,238.914,10.648
16/12/2006,02:24:00,1.081,0.193,240.029,8.508
16/12/2006,02:25:00,1.144,0.197,241.38,10.053
16/12/2006,02:26:00,1.118,0.212,240.946,9.881
16/12/2006,02:27:00,1.193,0.165,239.232,11.17
16/12/2006,02:28:00,1.379,0.203,242.038,9.821
16/12/2006,02:29:00,1.249,0.192,242.06,9.306
16/12/2006,02:30:00,1.209,0.237,240.368,9.493
16/12/2006,02:31:00,1.086,0.197,241.925,11.273
16/12/2006,02:32:00,0.998,0.233,240.545,10.536
16/12/2006,02:33:00,1.186,0.178,238.877,9.614
16/12/2006,02:34:00,1.262,0.212,241.396,9.764
16/12/2006,02:35:00,1.546,0.206,240.221,8.433
16/12/2006,02:36:00,1.313,0.183,240.003,10.388
16/12/2006,02:37:00,1.454,0.204,242.946,8.24
16/12/2006,02:38:00,1.245,0.224,235.098,10.752
16/12/2006,02:39:00,1.156,0.194,237.165,10.129
16/12/2006,02:40:00,1.205,0.166,237.626,12.387
16/12/2006,02:41:00,1.256,0.2,239.273,8.9
16/12/2006,02:42:00,1.701,0.182,239.491,9.897
16/12/2006,02:43:00,1.276,0.193,236.985,11.798
16/12/2006,02:44:00,1.543,0.198,238.03,11.191
16/12/2006,02:45:00,1.3,0.166,238.278,9.304
16/12/2006,02:46:00,1.595,0.168,244.915,10.224
16/12/2006,02:47:00,1.532,0.21,243.603,10.002
16/12/2006,02:48:00,1.471,0.19,239.177,10.282
16/12/2006,02:49:00,1.51,0.149,239.273,9.301
16/12/2006,02:50:00,1.439,0.216,237.702,9.911
16/12/2006,02:51:00,1.626,0.205,236.184,8.402
16/12/2006,02:52:00,1.514,0.186,239.766,10.135
16/12/2006,02:53:00,1.421,0.174,238.004,10.45
16/12/2006,02:54:00,1.437,0.217,239.83,9.773
16/12/2006,02:55:00,1.678,0.207,236.8,8.385
16/12/2006,02:56:00,1.913,0.248,238.476,10.989
16/12/2006,02:57:00,1.725,0.208,240.297,10.365
16/12/2006,02:58:00,1.708,0.208,240.732,9.274
16/12/2006,02:59:00,1.794,0.197,240.835,9.719
16/12/2006,03:00:00,1.972,0.216,237.359,8.499
16/12/2006,03:01:00,1.835,0.213,241.709,8.975
16/12/2006,03:02:00,1.766,0.225,238.4,9.462
16/12/2006,03:03:00,2.02,0.19,241.266,11.228
16/12/2006,03:04:00,1.945,0.191,239.979,9.36
16/12/2006,03:05:00,2.137,0.19,237.247,10.64
16/12/2006,03:06:00,1.961,0.216,239.368,9.462
16/12/2006,03:07:00,1.776,0.23,240.731,10.248
16/12/2006,03:08:00,1.782,0.191,241.226,9.859
16/12/2006,03:09:00,2.261,0.192,239.718,10.873
16/12/2006,03:10:00,2.299,0.206,243.064,9.465
16/12/2006,03:11:00,2.04,0.195,242.015,8.427
16/12/2006,03:12:00,2.036,0.219,239.487,8.618
16/12/2006,03:13:00,2.339,0.155,241.5,9.468
16/12/2006,03:14:00,1.98,0.183,243.868,8.751
16/12/2006,03:15:00,2.038,0.184,243.921,10.41
16/12/2006,03:16:00,2.295,0.154,237.544,9.534
16/12/2006,03:17:00,2.165,0.181,238.147,12.375
16/12/2006,03:18:00,2.248,0.182,242.97,8.262
16/12/2006,03:19:00,2.25,0.196,237.883,10.204
16/12/2006,03:20:00,2.35,0.222,237.355,8.872
16/12/2006,03:21:00,2.535,0.195,239.028,9.507
16/12/2006,03:22:00,2.362,0.179,240.84,10.141
16/12/2006,03:23:00,2.468,0.199,239.795,7.675
16/12/2006,03:24:00,2.088,0.221,238.699,10.237
16/12/2006,03:25:00,2.411,0.18,238.652,11.903
16/12/2006,03:26:00,2.314,0.182,238.575,9.547
16/12/2006,03:27:00,2.28,0.211,238.241,10.26
16/12/2006,03:28:00,2.353,0.196,244.563,11.025
16/12/2006,03:29:00,2.455,0.213,240.595,9.836
16/12/2006,03:30:00,2.663,0.2,241.774,9.419
16/12/2006,03:31:00,2.346,0.214,239.022,7.724
16/12/2006,03:32:00,2.569,0.179,239.628,10.641
16/12/2006,03:33:00,2.511,0.2,238.573,9.887
16/12/2006,03:34:00,2.552,0.196,234.697,8.987
16/12/2006,03:35:00,2.769,0.176,237.244,10.127
16/12/2006,03:36:00,2.716,0.169,236.379,9.416
16/12/2006,03:37:00,2.851,0.214,235.5,9.472
16/12/2006,03:38:00,2.643,0.193,237.609,10.606
16/12/2006,03:39:00,2.576,0.18,242.65,8.662
16/12/2006,03:40:00,2.66,0.198,239.911,11.047
16/12/2006,03:41:00,2.743,0.223,242.581,8.602
16/12/2006,03:42:00,2.745,0.154,240.822,9.337
16/12/2006,03:43:00,2.568,0.17,241.565,11.923
16/12/2006,03:44:00,2.754,0.182,238.198,11.127
16/12/2006,03:45:00,2.785,0.229,241.048,10.098
16/12/2006,03:46:00,3.137,0.206,241.457,9.059
16/12/2006,03:47:00,3.049,0.215,238.847,9.471
16/12/2006,03:48:00,2.646,0.177,241.119,10.073
16/12/2006,03:49:00,2.737,0.178,241.132,10.038
16/12/2006,03:50:00,2.566,0.209,238.901,9.909
16/12/2006,03:51:00,2.702,0.201,237.754,9.969
16/12/2006,03:52:00,2.842,0.211,237.632,9.786
16/12/2006,03:53:00,2.978,0.196,240.173,8.558
16/12/2006,03:54:00,2.689,0.206,240.654,9.483
16/12/2006,03:55:00,2.702,0.203,238.415,10.915
16/12/2006,03:56:00,2.478,0.216,240.053,8.632
16/12/2006,03:57:00,2.775,0.216,241.141,9.81
16/12/2006,03:58:00,2.638,0.168,241.236,9.18
16/12/2006,03:59:00,2.716,0.155,243.104,10.111
16/12/2006,04:00:00,2.66,0.22,242.554,9.611
16/12/2006,04:01:00,2.773,0.224,237.997,11.477
16/12/2006,04:02:00,2.518,0.18,243.367,10.507
16/12/2006,04:03:00,2.556,0.163,238.938,8.688
16/12/2006,04:04:00,3.088,0.202,242.09,10.671
16/12/2006,04:05:00,2.568,0.219,240.136,9.225
16/12/2006,04:06:00,2.588,0.236,239.176,9.423
16/12/2006,04:07:00,3.019,0.21,236.385,10.314
16/12/2006,04:08:00,3.169,0.193,239.657,9.508
16/12/2006,04:09:00,2.546,0.182,236.881,10.893
16/12/2006,04:10:00,2.655,0.2,241.935,9.225
16/12/2006,04:11:00,2.748,0.194,243.034,9.381
16/12/2006,04:12:00,2.943,0.18,238.406,9.344
16/12/2006,04:13:00,2.521,0.241,240.604,9.434
16/12/2006,04:14:00,2.618,0.236,238.549,11.099
16/12/2006,04:15:00,2.755,0.223,238.743,10.629
16/12/2006,04:16:00,2.688,0.182,241.549,11.71
16/12/2006,04:17:00,2.549,0.217,239.923,12.268
16/12/2006,04:18:00,2.567,0.213,243.479,8.969
16/12/2006,04:19:00,2.363,0.209,239.036,10.07
16/12/2006,04:20:00,2.514,0.225,241.999,8.824
16/12/2006,04:21:00,2.49,0.213,240.195,9.222
16/12/2006,04:22:00,2.545,0.215,241.592,9.37
16/12/2006,04:23:00,2.406,0.213,239.106,8.943
16/12/2006,04:24:00,2.539,0.207,239.901,8.948
16/12/2006,04:25:00,2.598,0.164,239.769,9.856
16/12/2006,04:26:00,2.447,0.202,238.328,8.783
16/12/2006,04:27:00,2.454,0.189,241.324,10.842
16/12/2006,04:28:00,2.385,0.174,241.3,9.082
16/12/2006,04:29:00,2.354,0.234,241.187,12.81
16/12/2006,04:30:00,2.221,0.235,243.074,9.549
16/12/2006,04:31:00,2.353,0.227,242.899,10.072
16/12/2006,04:32:00,2.266,0.205,239.25,8.705
16/12/2006,04:33:00,2.569,0.227,240.746,11.706
16/12/2006,04:34:00,2.466,0.2,238.753,11.12
16/12/2006,04:35:00,2.262,0.204,240.047,10.297
16/12/2006,04:36:00,2.064,0.178,238.801,8.653
16/12/2006,04:37:00,1.985,0.208,243.24,10.211
16/12/2006,04:38:00,2.305,0.201,240.727,8.879
16/12/2006,04:39:00,2.139,0.174,239.564,11.462
16/12/2006,04:40:00,2.145,0.199,242.387,10.809
16/12/2006,04:41:00,1.785,0.198,235.659,10.095
16/12/2006,04:42:00,2.159,0.236,235.972,7.564
16/12/2006,04:43:00,2.061,0.218,241.592,9.017
16/12/2006,04:44:00,1.8,0.2,240.121,10.688
16/12/2006,04:45:00,1.869,0.205,240.501,11.213
16/12/2006,04:46:00,1.953,0.201,237.347,11.109
16/12/2006,04:47:00,1.895,0.196,239.954,8.408
16/12/2006,04:48:00,1.817,0.178,244.007,10.302
16/12/2006,04:49:00,1.819,0.197,241.648,11.016
16/12/2006,04:50:00,1.771,0.185,240.339,8.342
16/12/2006,04:51:00,1.805,0.175,239.122,9.992
16/12/2006,04:52:00,1.978,0.21,239.211,10.274
16/12/2006,04:53:00,1.347,0.208,235.742,9.699
16/12/2006,04:54:00,1.671,0.164,240.515,8.148
16/12/2006,04:55:00,1.709,0.198,241.691,9.674
16/12/2006,04:56:00,1.702,0.22,236.849,9.673
16/12/2006,04:57:00,1.578,0.221,238.677,9.852
16/12/2006,04:58:00,1.347,0.221,237.685,9.437
16/12/2006,04:59:00,1.637,0.201,238.069,9.557
16/12/2006,05:00:00,1.824,0.183,240.107,9.96
16/12/2006,05:01:00,1.313,0.178,235.831,10.442
16/12/2006,05:02:00,1.651,0.207,241.229,9.696
16/12/2006,05:03:00,1.451,0.208,241.508,9.59
16/12/2006,05:04:00,1.47,0.226,239.498,10.092
16/12/2006,05:05:00,1.302,0.222,235.039,8.079
16/12/2006,05:06:00,1.39,0.197,238.007,10.477
16/12/2006,05:07:00,1.616,0.175,242.466,9.999
16/12/2006,05:08:00,1.491,0.194,234.444,10.04
16/12/2006,05:09:00,1.646,0.204,239.305,10.961
16/12/2006,05:10:00,1.546,0.196,237.64,8.047
16/12/2006,05:11:00,1.419,0.188,241.609,8.026
16/12/2006,05:12:00,1.599,0.205,238.65,10.274
16/12/2006,05:13:00,1.389,0.19,240.808,9.993
16/12/2006,05:14:00,1.434,0.187,241.131,10.17
16/12/2006,05:15:00,1.252,0.206,243.672,9.538
16/12/2006,05:16:00,1.294,0.192,239.594,10.664
16/12/2006,05:17:00,1.168,0.205,240.752,10.933
16/12/2006,05:18:00,1.41,0.205,237.03,10.484
16/12/2006,05:19:00,1.075,0.177,242.381,9.739
16/12/2006,05:20:00,1.36,0.19,238.479,7.892
16/12/2006,05:21:00,1.206,0.229,238.878,10.769
16/12/2006,05:22:00,1.403,0.177,239.956,11.222
16/12/2006,05:23:00,1.333,0.158,236.874,10.645
16/12/2006,05:24:00,1.488,0.163,240.458,9.12
16/12/2006,05:25:00,1.32,0.201,241.935,10.674
16/12/2006,05:26:00,0.971,0.201,240.586,10.861
16/12/2006,05:27:00,1.194,0.198,236.822,11.559
16/12/2006,05:28:00,1.026,0.224,239.752,9.124
16/12/2006,05:29:00,1.123,0.147,241.484,9.774
16/12/2006,05:30:00,1.427,0.208,236.244,10.747
16/12/2006,05:31:00,1.296,0.231,237.85,10.057
16/12/2006,05:32:00,1.097,0.177,241.753,8.883
16/12/2006,05:33:00,1.052,0.192,240.54,10.415
16/12/2006,05:34:00,1.212,0.185,240.824,10.579
16/12/2006,05:35:00,1.029,0.182,243.719,10.088
16/12/2006,05:36:00,1.116,0.193,240.937,10.22
16/12/2006,05:37:00,1.269,0.229,241.316,9.741
16/12/2006,05:38:00,1.403,0.237,245.421,11.478
16/12/2006,05:39:00,1.328,0.193,239.572,9.099
16/12/2006,05:40:00,0.902,0.238,238.404,9.413
16/12/2006,05:41:00,1.3,0.201,240.856,10.011
16/12/2006,05:42:00,1.275,0.235,240.878,10.879
16/12/2006,05:43:00,1.338,0.198,238.947,8.503
16/12/2006,05:44:00,1.53,0.203,237.935,8.69
16/12/2006,05:45:00,0.99,0.207,244.62,7.962
16/12/2006,05:46:00,1.224,0.264,240.654,10.033
16/12/2006,05:47:00,1.416,0.217,238.535,8.882
16/12/2006,05:48:00,1.104,0.186,241.832,9.615
16/12/2006,05:49:00,1.579,0.219,239.782,10.661
16/12/2006,05:50:00,1.429,0.193,239.494,9.358
16/12/2006,05:51:00,1.517,0.19,241.125,10.231
16/12/2006,05:52:00,1.322,0.218,237.416,9.701
16/12/2006,05:53:00,1.548,0.201,240.705,10.672
16/12/2006,05:54:00,1.605,0.206,243.826,10.475
16/12/2006,05:55:00,1.5,0.2,240.932,9.308
16/12/2006,05:56:00,1.52,0.207,239.248,9.831
16/12/2006,05:57:00,1.546,0.208,238.986,11.044
16/12/2006,05:58:00,1.397,0.161,239.179,10.393
16/12/2006,05:59:00,1.526,0.213,239.492,8.603
16/12/2006,06:00:00,1.548,0.18,239.244,10.656
16/12/2006,06:01:00,1.651,0.171,241.833,8.915
16/12/2006,06:02:00,1.767,0.199,236.534,11.413
16/12/2006,06:03:00,1.482,0.202,241.724,11.024
16/12/2006,06:04:00,1.646,0.186,239.241,10.29
16/12/2006,06:05:00,1.911,0.217,240.754,10.157
16/12/2006,06:06:00,1.602,0.173,237.746,9.791
16/12/2006,06:07:00,1.615,0.192,242.657,10.679
16/12/2006,06:08:00,1.794,0.188,242.491,9.629
16/12/2006,06:09:00,1.916,0.199,241.919,10.236
16/12/2006,06:10:00,1.817,0.206,236.97,10.872
16/12/2006,06:11:00,2.041,0.18,241.658,9.438
16/12/2006,06:12:00,1.996,0.214,240.81,9.384
16/12/2006,06:13:00,2.02,0.201,236.789,8.806
16/12/2006,06:14:00,2.003,0.162,239.951,8.936
16/12/2006,06:15:00,2.296,0.161,240.729,8.172
16/12/2006,06:16:00,1.943,0.2,241.112,10.73
16/12/2006,06:17:00,1.7,0.196,240.355,11.809
16/12/2006,06:18:00,2.268,0.198,240.582,11.425
16/12/2006,06:19:00,1.985,0.199,242.947,8.374
16/12/2006,06:20:00,2.096,0.205,242.452,10.725
16/12/2006,06:21:00,2.303,0.219,234.266,11.422
16/12/2006,06:22:00,1.893,0.178,239.365,9.543
16/12/2006,06:23:00,1.971,0.177,239.671,10.101
16/12/2006,06:24:00,1.945,0.178,236.496,7.992
16/12/2006,06:25:00,2.092,0.206,240.188,10.267
16/12/2006,06:26:00,2.303,0.225,242.498,8.936
16/12/2006,06:27:00,2.341,0.191,237.827,10.2
16/12/2006,06:28:00,2.328,0.15,240.673,8.439
16/12/2006,06:29:00,2.1,0.166,238.168,10.543
16/12/2006,06:30:00,1.99,0.183,238.656,11.025
16/12/2006,06:31:00,2.368,0.189,242.955,9.217
16/12/2006,06:32:00,2.313,0.192,238.915,8.863
16/12/2006,06:33:00,2.476,0.201,240.924,7.844
16/12/2006,06:34:00,2.535,0.194,236.258,9.734
16/12/2006,06:35:00,2.473,0.221,243.725,9.418
16/12/2006,06:36:00,2.588,0.186,241.205,8.449
16/12/2006,06:37:00,2.529,0.183,239.635,10.453
16/12/2006,06:38:00,2.595,0.21,241.151,9.55
16/12/2006,06:39:00,2.43,0.169,237.18,8.924
16/12/2006,06:40:00,2.528,0.208,242.365,9.445
16/12/2006,06:41:00,2.604,0.202,239.352,11.071
16/12/2006,06:42:00,2.715,0.197,239.592,10.603
16/12/2006,06:43:00,2.551,0.232,239.017,9.87
16/12/2006,06:44:00,2.705,0.188,238.839,10.619
16/12/2006,06:45:00,2.603,0.241,241.389,8.839
16/12/2006,06:46:00,2.641,0.195,240.512,10.032
16/12/2006,06:47:00,2.798,0.174,241.303,10.147
16/12/2006,06:48:00,2.388,0.201,239.982,9.53
16/12/2006,06:49:00,2.506,0.178,241.026,10.435
16/12/2006,06:50:00,2.491,0.185,239.162,9.22
16/12/2006,06:51:00,2.375,0.208,244.459,10.51
16/12/2006,06:52:00,2.634,0.211,236.864,10.552
16/12/2006,06:53:00,2.858,0.188,242.522,7.083
16/12/2006,06:54:00,2.712,0.22,242.736,11.19
16/12/2006,06:55:00,2.793,0.223,238.296,6.952
16/12/2006,06:56:00,2.934,0.229,244.459,9.384
16/12/2006,06:57:00,2.977,0.211,241.991,11.025
16/12/2006,06:58:00,2.773,0.227,241.942,9.683
16/12/2006,06:59:00,2.991,0.162,240.056,8.534
16/12/2006,07:00:00,2.806,0.194,239.566,8.906
16/12/2006,07:01:00,2.67,0.183,239.581,11.027
16/12/2006,07:02:00,2.709,0.202,240.781,8.078
16/12/2006,07:03:00,2.577,0.189,242.802,11.129
16/12/2006,07:04:00,2.667,0.197,240.363,9.945
16/12/2006,07:05:00,2.746,0.238,238.177,8.808
16/12/2006,07:06:00,2.919,0.197,241.649,9.417
16/12/2006,07:07:00,3.054,0.208,241.842,8.983
16/12/2006,07:08:00,2.586,0.195,241.309,10.866
16/12/2006,07:09:00,2.848,0.202,241.491,10.732
16/12/2006,07:10:00,2.629,0.2,239.458,8.281
16/12/2006,07:11:00,2.85,0.209,238.142,9.596
16/12/2006,07:12:00,2.753,0.223,238.264,9.137
16/12/2006,07:13:00,2.491,0.233,236.729,11.294
16/12/2006,07:14:00,2.896,0.206,240.474,8.65
16/12/2006,07:15:00,2.657,0.212,239.833,11.604
16/12/2006,07:16:00,2.658,0.177,239.12,9.967
16/12/2006,07:17:00,2.567,0.198,234.089,8.838
16/12/2006,07:18:00,2.618,0.219,237.505,9.323
16/12/2006,07:19:00,2.768,0.217,242.242,9.198
16/12/2006,07:20:00,2.662,0.204,238.671,8.725
16/12/2006,07:21:00,2.726,0.218,240.721,10.095
16/12/2006,07:22:00,2.716,0.21,237.219,8.772
16/12/2006,07:23:00,2.845,0.224,242.877,7.82
16/12/2006,07:24:00,2.579,0.206,239.712,9.62
16/12/2006,07:25:00,2.392,0.193,240.58,8.197
16/12/2006,07:26:00,2.756,0.207,244.652,9.248
16/12/2006,07:27:00,2.529,0.141,243.033,9.091
16/12/2006,07:28:00,2.727,0.208,239.387,9.129
16/12/2006,07:29:00,2.598,0.127,238.814,12.001
16/12/2006,07:30:00,2.501,0.166,239.349,10.056
16/12/2006,07:31:00,2.552,0.209,241.02,10.245
16/12/2006,07:32:00,2.771,0.21,239.79,8.224
16/12/2006,07:33:00,2.769,0.177,239.21,9.346
16/12/2006,07:34:00,2.445,0.186,242.934,10.215
16/12/2006,07:35:00,2.436,0.227,239.772,8.975
16/12/2006,07:36:00,2.551,0.19,244.599,10.908
16/12/2006,07:37:00,2.239,0.245,240.181,8.797
16/12/2006,07:38:00,2.392,0.2,243.571,9.714
16/12/2006,07:39:00,2.314,0.208,240.715,9.414
16/12/2006,07:40:00,2.34,0.232,241.926,10.164
16/12/2006,07:41:00,2.143,0.203,238.551,9.36
16/12/2006,07:42:00,2.004,0.18,238.292,9.729
16/12/2006,07:43:00,1.906,0.198,240.919,9.764
16/12/2006,07:44:00,2.024,0.199,241.977,9.266
16/12/2006,07:45:00,2.096,0.173,240.081,10.485
16/12/2006,07:46:00,2.095,0.195,237.427,10.238
16/12/2006,07:47:00,2.403,0.185,237.279,9.911
16/12/2006,07:48:00,2.252,0.218,237.146,9.57
16/12/2006,07:49:00,1.915,0.201,236.465,10.797
16/12/2006,07:50:00,2.085,0.194,240.219,9.764
16/12/2006,07:51:00,1.945,0.198,242.25,9.693
16/12/2006,07:52:00,1.937,0.204,239.973,10.105
16/12/2006,07:53:00,1.981,0.212,235.479,11.697
16/12/2006,07:54:00,2.019,0.18,239.618,8.66
16/12/2006,07:55:00,1.849,0.179,239.674,10.77
16/12/2006,07:56:00,2.033,0.222,244.192,8.107
16/12/2006,07:57:00,1.676,0.192,237.086,10.217
16/12/2006,07:58:00,1.822,0.172,239.219,11.575
16/12/2006,07:59:00,2.185,0.209,243.412,10.489
