Datetime,Usage,hour,day,month,weekday,weekend,lag1,lag24
2006-12-19 20:00:00,2.736,20,19,12,1,0,2.69,1.625
2006-12-19 21:00:00,2.681,21,19,12,1,0,2.736,1.6
2006-12-19 22:00:00,2.831,22,19,12,1,0,2.681,1.674
2006-12-19 23:00:00,2.576,23,19,12,1,0,2.831,1.786
2006-12-20 00:00:00,2.662,0,20,12,2,0,2.576,1.9
2006-12-20 01:00:00,2.564,1,20,12,2,0,2.662,2.013
2006-12-20 02:00:00,2.749,2,20,12,2,0,2.564,2.089
2006-12-20 03:00:00,2.731,3,20,12,2,0,2.749,1.952
2006-12-20 04:00:00,2.57,4,20,12,2,0,2.731,1.985
2006-12-20 05:00:00,2.758,5,20,12,2,0,2.57,2.103
2006-12-20 06:00:00,2.529,6,20,12,2,0,2.758,2.163
2006-12-20 07:00:00,2.384,7,20,12,2,0,2.529,2.134
2006-12-20 08:00:00,2.453,8,20,12,2,0,2.384,2.2
2006-12-20 09:00:00,2.473,9,20,12,2,0,2.453,2.396
2006-12-20 10:00:00,2.367,10,20,12,2,0,2.473,2.53
2006-12-20 11:00:00,2.567,11,20,12,2,0,2.367,2.392
2006-12-20 12:00:00,2.374,12,20,12,2,0,2.567,2.395
2006-12-20 13:00:00,2.408,13,20,12,2,0,2.374,2.474
2006-12-20 14:00:00,2.317,14,20,12,2,0,2.408,2.442
2006-12-20 15:00:00,1.953,15,20,12,2,0,2.317,2.549
2006-12-20 16:00:00,2.026,16,20,12,2,0,1.953,2.649
2006-12-20 17:00:00,1.733,17,20,12,2,0,2.026,2.626
2006-12-20 18:00:00,1.883,18,20,12,2,0,1.733,2.78
2006-12-20 19:00:00,2.001,19,20,12,2,0,1.883,2.69
2006-12-20 20:00:00,1.748,20,20,12,2,0,2.001,2.736
2006-12-20 21:00:00,1.713,21,20,12,2,0,1.748,2.681
2006-12-20 22:00:00,1.755,22,20,12,2,0,1.713,2.831
2006-12-20 23:00:00,1.748,23,20,12,2,0,1.755,2.576
2006-12-21 00:00:00,1.584,0,21,12,3,0,1.748,2.662
2006-12-21 01:00:00,1.546,1,21,12,3,0,1.584,2.564
2006-12-21 02:00:00,1.608,2,21,12,3,0,1.546,2.749
2006-12-21 03:00:00,1.511,3,21,12,3,0,1.608,2.731
2006-12-21 04:00:00,1.419,4,21,12,3,0,1.511,2.57
2006-12-21 05:00:00,1.446,5,21,12,3,0,1.419,2.758
2006-12-21 06:00:00,1.392,6,21,12,3,0,1.446,2.529
2006-12-21 07:00:00,1.384,7,21,12,3,0,1.392,2.384
2006-12-21 08:00:00,1.538,8,21,12,3,0,1.384,2.453
2006-12-21 09:00:00,1.29,9,21,12,3,0,1.538,2.473
2006-12-21 10:00:00,1.255,10,21,12,3,0,1.29,2.367
2006-12-21 11:00:00,1.444,11,21,12,3,0,1.255,2.567
2006-12-21 12:00:00,1.229,12,21,12,3,0,1.444,2.374
2006-12-21 13:00:00,1.475,13,21,12,3,0,1.229,2.408
2006-12-21 14:00:00,1.291,14,21,12,3,0,1.475,2.317
2006-12-21 15:00:00,1.33,15,21,12,3,0,1.291,1.953
2006-12-21 16:00:00,1.413,16,21,12,3,0,1.33,2.026
2006-12-21 17:00:00,1.482,17,21,12,3,0,1.413,1.733
2006-12-21 18:00:00,1.487,18,21,12,3,0,1.482,1.883
2006-12-21 19:00:00,1.397,19,21,12,3,0,1.487,2.001
2006-12-21 20:00:00,1.415,20,21,12,3,0,1.397,1.748
2006-12-21 21:00:00,1.525,21,21,12,3,0,1.415,1.713
2006-12-21 22:00:00,1.545,22,21,12,3,0,1.525,1.755
2006-12-21 23:00:00,1.512,23,21,12,3,0,1.545,1.748
2006-12-22 00:00:00,1.665,0,22,12,4,0,1.512,1.584
2006-12-22 01:00:00,1.774,1,22,12,4,0,1.665,1.546
2006-12-22 02:00:00,1.744,2,22,12,4,0,1.774,1.608
2006-12-22 03:00:00,1.939,3,22,12,4,0,1.744,1.511
2006-12-22 04:00:00,1.879,4,22,12,4,0,1.939,1.419
2006-12-22 05:00:00,1.88,5,22,12,4,0,1.879,1.446
2006-12-22 06:00:00,1.964,6,22,12,4,0,1.88,1.392
2006-12-22 07:00:00,1.956,7,22,12,4,0,1.964,1.384
2006-12-22 08:00:00,1.967,8,22,12,4,0,1.956,1.538
2006-12-22 09:00:00,2.175,9,22,12,4,0,1.967,1.29
2006-12-22 10:00:00,2.099,10,22,12,4,0,2.175,1.255
2006-12-22 11:00:00,2.204,11,22,12,4,0,2.099,1.444
2006-12-22 12:00:00,2.285,12,22,12,4,0,2.204,1.229
2006-12-22 13:00:00,2.384,13,22,12,4,0,2.285,1.475
2006-12-22 14:00:00,2.442,14,22,12,4,0,2.384,1.291
2006-12-22 15:00:00,2.448,15,22,12,4,0,2.442,1.33
2006-12-22 16:00:00,2.293,16,22,12,4,0,2.448,1.413
2006-12-22 17:00:00,2.505,17,22,12,4,0,2.293,1.482
2006-12-22 18:00:00,2.485,18,22,12,4,0,2.505,1.487
2006-12-22 19:00:00,2.584,19,22,12,4,0,2.485,1.397
2006-12-22 20:00:00,2.723,20,22,12,4,0,2.584,1.415
2006-12-22 21:00:00,2.729,21,22,12,4,0,2.723,1.525
2006-12-22 22:00:00,2.69,22,22,12,4,0,2.729,1.545
2006-12-22 23:00:00,2.734,23,22,12,4,0,2.69,1.512
2006-12-23 00:00:00,2.545,0,23,12,5,1,2.734,1.665
2006-12-23 01:00:00,2.718,1,23,12,5,1,2.545,1.774
2006-12-23 02:00:00,2.762,2,23,12,5,1,2.718,1.744
2006-12-23 03:00:00,2.625,3,23,12,5,1,2.762,1.939
2006-12-23 04:00:00,2.727,4,23,12,5,1,2.625,1.879
2006-12-23 05:00:00,2.635,5,23,12,5,1,2.727,1.88
2006-12-23 06:00:00,2.754,6,23,12,5,1,2.635,1.964
2006-12-23 07:00:00,2.742,7,23,12,5,1,2.754,1.956
2006-12-23 08:00:00,2.551,8,23,12,5,1,2.742,1.967
2006-12-23 09:00:00,2.719,9,23,12,5,1,2.551,2.175
2006-12-23 10:00:00,2.518,10,23,12,5,1,2.719,2.099
2006-12-23 11:00:00,2.704,11,23,12,5,1,2.518,2.204
2006-12-23 12:00:00,2.406,12,23,12,5,1,2.704,2.285
2006-12-23 13:00:00,2.416,13,23,12,5,1,2.406,2.384
2006-12-23 14:00:00,2.382,14,23,12,5,1,2.416,2.442
2006-12-23 15:00:00,2.234,15,23,12,5,1,2.382,2.448
2006-12-23 16:00:00,2.084,16,23,12,5,1,2.234,2.293
2006-12-23 17:00:00,2.121,17,23,12,5,1,2.084,2.505
2006-12-23 18:00:00,2.252,18,23,12,5,1,2.121,2.485
2006-12-23 19:00:00,2.054,19,23,12,5,1,2.252,2.584
2006-12-23 20:00:00,1.996,20,23,12,5,1,2.054,2.723
2006-12-23 21:00:00,2.122,21,23,12,5,1,1.996,2.729
2006-12-23 22:00:00,1.962,22,23,12,5,1,2.122,2.69
2006-12-23 23:00:00,1.925,23,23,12,5,1,1.962,2.734
2006-12-24 00:00:00,1.883,0,24,12,6,1,1.925,2.545
2006-12-24 01:00:00,1.653,1,24,12,6,1,1.883,2.718
2006-12-24 02:00:00,1.703,2,24,12,6,1,1.653,2.762
2006-12-24 03:00:00,1.654,3,24,12,6,1,1.703,2.625
2006-12-24 04:00:00,1.574,4,24,12,6,1,1.654,2.727
2006-12-24 05:00:00,1.435,5,24,12,6,1,1.574,2.635
2006-12-24 06:00:00,1.548,6,24,12,6,1,1.435,2.754
2006-12-24 07:00:00,1.297,7,24,12,6,1,1.548,2.742
2006-12-24 08:00:00,1.333,8,24,12,6,1,1.297,2.551
2006-12-24 09:00:00,1.315,9,24,12,6,1,1.333,2.719
2006-12-24 10:00:00,1.327,10,24,12,6,1,1.315,2.518
2006-12-24 11:00:00,1.429,11,24,12,6,1,1.327,2.704
2006-12-24 12:00:00,1.493,12,24,12,6,1,1.429,2.406
2006-12-24 13:00:00,1.486,13,24,12,6,1,1.493,2.416
2006-12-24 14:00:00,1.385,14,24,12,6,1,1.486,2.382
2006-12-24 15:00:00,1.344,15,24,12,6,1,1.385,2.234
2006-12-24 16:00:00,1.067,16,24,12,6,1,1.344,2.084
2006-12-24 17:00:00,1.42,17,24,12,6,1,1.067,2.121
2006-12-24 18:00:00,1.58,18,24,12,6,1,1.42,2.252
2006-12-24 19:00:00,1.378,19,24,12,6,1,1.58,2.054
2006-12-24 20:00:00,1.375,20,24,12,6,1,1.378,1.996
2006-12-24 21:00:00,1.446,21,24,12,6,1,1.375,2.122
2006-12-24 22:00:00,1.478,22,24,12,6,1,1.446,1.962
2006-12-24 23:00:00,1.451,23,24,12,6,1,1.478,1.925
2006-12-25 00:00:00,1.437,0,25,12,0,0,1.451,1.883
2006-12-25 01:00:00,1.551,1,25,12,0,0,1.437,1.653
2006-12-25 02:00:00,1.421,2,25,12,0,0,1.551,1.703
2006-12-25 03:00:00,1.417,3,25,12,0,0,1.421,1.654
2006-12-25 04:00:00,1.791,4,25,12,0,0,1.417,1.574
2006-12-25 05:00:00,1.661,5,25,12,0,0,1.791,1.435
2006-12-25 06:00:00,1.832,6,25,12,0,0,1.661,1.548
2006-12-25 07:00:00,1.971,7,25,12,0,0,1.832,1.297
2006-12-25 08:00:00,1.995,8,25,12,0,0,1.971,1.333
2006-12-25 09:00:00,1.875,9,25,12,0,0,1.995,1.315
2006-12-25 10:00:00,2.021,10,25,12,0,0,1.875,1.327
2006-12-25 11:00:00,1.93,11,25,12,0,0,2.021,1.429
2006-12-25 12:00:00,2.094,12,25,12,0,0,1.93,1.493
2006-12-25 13:00:00,2.267,13,25,12,0,0,2.094,1.486
2006-12-25 14:00:00,2.221,14,25,12,0,0,2.267,1.385
2006-12-25 15:00:00,1.988,15,25,12,0,0,2.221,1.344
2006-12-25 16:00:00,2.1,16,25,12,0,0,1.988,1.067
2006-12-25 17:00:00,2.296,17,25,12,0,0,2.1,1.42
2006-12-25 18:00:00,2.557,18,25,12,0,0,2.296,1.58
2006-12-25 19:00:00,2.489,19,25,12,0,0,2.557,1.378
2006-12-25 20:00:00,2.525,20,25,12,0,0,2.489,1.375
2006-12-25 21:00:00,2.417,21,25,12,0,0,2.525,1.446
2006-12-25 22:00:00,2.597,22,25,12,0,0,2.417,1.478
2006-12-25 23:00:00,2.386,23,25,12,0,0,2.597,1.451
2006-12-26 00:00:00,2.673,0,26,12,1,0,2.386,1.437
2006-12-26 01:00:00,2.779,1,26,12,1,0,2.673,1.551
2006-12-26 02:00:00,2.596,2,26,12,1,0,2.779,1.421
2006-12-26 03:00:00,2.798,3,26,12,1,0,2.596,1.417
2006-12-26 04:00:00,2.625,4,26,12,1,0,2.798,1.791
2006-12-26 05:00:00,2.715,5,26,12,1,0,2.625,1.661
2006-12-26 06:00:00,2.684,6,26,12,1,0,2.715,1.832
2006-12-26 07:00:00,2.7,7,26,12,1,0,2.684,1.971
2006-12-26 08:00:00,2.832,8,26,12,1,0,2.7,1.995
2006-12-26 09:00:00,2.75,9,26,12,1,0,2.832,1.875
2006-12-26 10:00:00,2.573,10,26,12,1,0,2.75,2.021
2006-12-26 11:00:00,2.339,11,26,12,1,0,2.573,1.93
2006-12-26 12:00:00,2.675,12,26,12,1,0,2.339,2.094
2006-12-26 13:00:00,2.628,13,26,12,1,0,2.675,2.267
2006-12-26 14:00:00,2.53,14,26,12,1,0,2.628,2.221
2006-12-26 15:00:00,2.417,15,26,12,1,0,2.53,1.988
2006-12-26 16:00:00,2.588,16,26,12,1,0,2.417,2.1
2006-12-26 17:00:00,2.202,17,26,12,1,0,2.588,2.296
2006-12-26 18:00:00,2.252,18,26,12,1,0,2.202,2.557
2006-12-26 19:00:00,2.131,19,26,12,1,0,2.252,2.489
2006-12-26 20:00:00,2.26,20,26,12,1,0,2.131,2.525
2006-12-26 21:00:00,2.121,21,26,12,1,0,2.26,2.417
2006-12-26 22:00:00,2.321,22,26,12,1,0,2.121,2.597
2006-12-26 23:00:00,2.054,23,26,12,1,0,2.321,2.386
2006-12-27 00:00:00,1.97,0,27,12,2,0,2.054,2.673
2006-12-27 01:00:00,1.993,1,27,12,2,0,1.97,2.779
2006-12-27 02:00:00,1.805,2,27,12,2,0,1.993,2.596
2006-12-27 03:00:00,1.712,3,27,12,2,0,1.805,2.798
2006-12-27 04:00:00,1.819,4,27,12,2,0,1.712,2.625
2006-12-27 05:00:00,1.662,5,27,12,2,0,1.819,2.715
2006-12-27 06:00:00,1.757,6,27,12,2,0,1.662,2.684
2006-12-27 07:00:00,1.643,7,27,12,2,0,1.757,2.7
2006-12-27 08:00:00,1.574,8,27,12,2,0,1.643,2.832
2006-12-27 09:00:00,1.525,9,27,12,2,0,1.574,2.75
2006-12-27 10:00:00,1.469,10,27,12,2,0,1.525,2.573
2006-12-27 11:00:00,1.482,11,27,12,2,0,1.469,2.339
2006-12-27 12:00:00,1.368,12,27,12,2,0,1.482,2.675
2006-12-27 13:00:00,1.183,13,27,12,2,0,1.368,2.628
2006-12-27 14:00:00,1.362,14,27,12,2,0,1.183,2.53
2006-12-27 15:00:00,1.288,15,27,12,2,0,1.362,2.417
2006-12-27 16:00:00,1.181,16,27,12,2,0,1.288,2.588
2006-12-27 17:00:00,1.385,17,27,12,2,0,1.181,2.202
2006-12-27 18:00:00,1.263,18,27,12,2,0,1.385,2.252
2006-12-27 19:00:00,1.126,19,27,12,2,0,1.263,2.131
2006-12-27 20:00:00,1.296,20,27,12,2,0,1.126,2.26
2006-12-27 21:00:00,1.245,21,27,12,2,0,1.296,2.121
2006-12-27 22:00:00,1.155,22,27,12,2,0,1.245,2.321
2006-12-27 23:00:00,1.375,23,27,12,2,0,1.155,2.054
2006-12-28 00:00:00,1.261,0,28,12,3,0,1.375,1.97
2006-12-28 01:00:00,1.465,1,28,12,3,0,1.261,1.993
2006-12-28 02:00:00,1.334,2,28,12,3,0,1.465,1.805
2006-12-28 03:00:00,1.557,3,28,12,3,0,1.334,1.712
2006-12-28 04:00:00,1.541,4,28,12,3,0,1.557,1.819
2006-12-28 05:00:00,1.551,5,28,12,3,0,1.541,1.662
2006-12-28 06:00:00,1.51,6,28,12,3,0,1.551,1.757
2006-12-28 07:00:00,1.725,7,28,12,3,0,1.51,1.643
2006-12-28 08:00:00,1.736,8,28,12,3,0,1.725,1.574
2006-12-28 09:00:00,1.702,9,28,12,3,0,1.736,1.525
2006-12-28 10:00:00,1.852,10,28,12,3,0,1.702,1.469
2006-12-28 11:00:00,1.747,11,28,12,3,0,1.852,1.482
2006-12-28 12:00:00,1.779,12,28,12,3,0,1.747,1.368
2006-12-28 13:00:00,1.956,13,28,12,3,0,1.779,1.183
2006-12-28 14:00:00,2.031,14,28,12,3,0,1.956,1.362
2006-12-28 15:00:00,2.125,15,28,12,3,0,2.031,1.288
2006-12-28 16:00:00,2.146,16,28,12,3,0,2.125,1.181
2006-12-28 17:00:00,2.32,17,28,12,3,0,2.146,1.385
2006-12-28 18:00:00,2.122,18,28,12,3,0,2.32,1.263
2006-12-28 19:00:00,2.362,19,28,12,3,0,2.122,1.126
2006-12-28 20:00:00,2.379,20,28,12,3,0,2.362,1.296
2006-12-28 21:00:00,2.541,21,28,12,3,0,2.379,1.245
2006-12-28 22:00:00,2.464,22,28,12,3,0,2.541,1.155
2006-12-28 23:00:00,2.526,23,28,12,3,0,2.464,1.375
2006-12-29 00:00:00,2.71,0,29,12,4,0,2.526,1.261
2006-12-29 01:00:00,2.649,1,29,12,4,0,2.71,1.465
2006-12-29 02:00:00,2.662,2,29,12,4,0,2.649,1.334
2006-12-29 03:00:00,2.59,3,29,12,4,0,2.662,1.557
2006-12-29 04:00:00,2.666,4,29,12,4,0,2.59,1.541
2006-12-29 05:00:00,2.506,5,29,12,4,0,2.666,1.551
2006-12-29 06:00:00,2.601,6,29,12,4,0,2.506,1.51
2006-12-29 07:00:00,2.76,7,29,12,4,0,2.601,1.725
2006-12-29 08:00:00,2.522,8,29,12,4,0,2.76,1.736
2006-12-29 09:00:00,2.709,9,29,12,4,0,2.522,1.702
2006-12-29 10:00:00,2.696,10,29,12,4,0,2.709,1.852
2006-12-29 11:00:00,2.723,11,29,12,4,0,2.696,1.747
2006-12-29 12:00:00,2.5,12,29,12,4,0,2.723,1.779
2006-12-29 13:00:00,2.447,13,29,12,4,0,2.5,1.956
2006-12-29 14:00:00,2.737,14,29,12,4,0,2.447,2.031
2006-12-29 15:00:00,2.609,15,29,12,4,0,2.737,2.125
2006-12-29 16:00:00,2.607,16,29,12,4,0,2.609,2.146
2006-12-29 17:00:00,2.691,17,29,12,4,0,2.607,2.32
2006-12-29 18:00:00,2.507,18,29,12,4,0,2.691,2.122
2006-12-29 19:00:00,2.25,19,29,12,4,0,2.507,2.362
2006-12-29 20:00:00,2.368,20,29,12,4,0,2.25,2.379
2006-12-29 21:00:00,2.432,21,29,12,4,0,2.368,2.541
2006-12-29 22:00:00,2.256,22,29,12,4,0,2.432,2.464
2006-12-29 23:00:00,2.215,23,29,12,4,0,2.256,2.526
2006-12-30 00:00:00,2.129,0,30,12,5,1,2.215,2.71
2006-12-30 01:00:00,2.28,1,30,12,5,1,2.129,2.649
2006-12-30 02:00:00,2.2,2,30,12,5,1,2.28,2.662
2006-12-30 03:00:00,1.836,3,30,12,5,1,2.2,2.59
2006-12-30 04:00:00,2.149,4,30,12,5,1,1.836,2.666
2006-12-30 05:00:00,1.823,5,30,12,5,1,2.149,2.506
2006-12-30 06:00:00,2.046,6,30,12,5,1,1.823,2.601
2006-12-30 07:00:00,1.656,7,30,12,5,1,2.046,2.76
2006-12-30 08:00:00,1.843,8,30,12,5,1,1.656,2.522
2006-12-30 09:00:00,1.623,9,30,12,5,1,1.843,2.709
2006-12-30 10:00:00,1.613,10,30,12,5,1,1.623,2.696
2006-12-30 11:00:00,1.669,11,30,12,5,1,1.613,2.723
2006-12-30 12:00:00,1.461,12,30,12,5,1,1.669,2.5
2006-12-30 13:00:00,1.525,13,30,12,5,1,1.461,2.447
2006-12-30 14:00:00,1.486,14,30,12,5,1,1.525,2.737
2006-12-30 15:00:00,1.539,15,30,12,5,1,1.486,2.609
2006-12-30 16:00:00,1.526,16,30,12,5,1,1.539,2.607
2006-12-30 17:00:00,1.551,17,30,12,5,1,1.526,2.691
2006-12-30 18:00:00,1.372,18,30,12,5,1,1.551,2.507
2006-12-30 19:00:00,1.365,19,30,12,5,1,1.372,2.25
2006-12-30 20:00:00,1.254,20,30,12,5,1,1.365,2.368
2006-12-30 21:00:00,1.226,21,30,12,5,1,1.254,2.432
2006-12-30 22:00:00,1.168,22,30,12,5,1,1.226,2.256
2006-12-30 23:00:00,1.279,23,30,12,5,1,1.168,2.215
2006-12-31 00:00:00,1.324,0,31,12,6,1,1.279,2.129
2006-12-31 01:00:00,1.322,1,31,12,6,1,1.324,2.28
2006-12-31 02:00:00,1.393,2,31,12,6,1,1.322,2.2
2006-12-31 03:00:00,1.221,3,31,12,6,1,1.393,1.836
2006-12-31 04:00:00,1.555,4,31,12,6,1,1.221,2.149
2006-12-31 05:00:00,1.442,5,31,12,6,1,1.555,1.823
2006-12-31 06:00:00,1.554,6,31,12,6,1,1.442,2.046
2006-12-31 07:00:00,1.517,7,31,12,6,1,1.554,1.656
2006-12-31 08:00:00,1.436,8,31,12,6,1,1.517,1.843
2006-12-31 09:00:00,1.535,9,31,12,6,1,1.436,1.623
2006-12-31 10:00:00,1.285,10,31,12,6,1,1.535,1.613
2006-12-31 11:00:00,1.686,11,31,12,6,1,1.285,1.669
2006-12-31 12:00:00,1.71,12,31,12,6,1,1.686,1.461
2006-12-31 13:00:00,1.893,13,31,12,6,1,1.71,1.525
2006-12-31 14:00:00,1.652,14,31,12,6,1,1.893,1.486
2006-12-31 15:00:00,1.877,15,31,12,6,1,1.652,1.539
2006-12-31 16:00:00,1.912,16,31,12,6,1,1.877,1.526
2006-12-31 17:00:00,1.874,17,31,12,6,1,1.912,1.551
2006-12-31 18:00:00,1.912,18,31,12,6,1,1.874,1.372
2006-12-31 19:00:00,1.999,19,31,12,6,1,1.912,1.365
2006-12-31 20:00:00,2.272,20,31,12,6,1,1.999,1.254
2006-12-31 21:00:00,2.328,21,31,12,6,1,2.272,1.226
2006-12-31 22:00:00,2.14,22,31,12,6,1,2.328,1.168
2006-12-31 23:00:00,2.319,23,31,12,6,1,2.14,1.279
2007-01-01 00:00:00,2.433,0,1,1,0,0,2.319,1.324
2007-01-01 01:00:00,2.466,1,1,1,0,0,2.433,1.322
2007-01-01 02:00:00,2.326,2,1,1,0,0,2.466,1.393
2007-01-01 03:00:00,2.458,3,1,1,0,0,2.326,1.221
2007-01-01 04:00:00,2.412,4,1,1,0,0,2.458,1.555
2007-01-01 05:00:00,2.691,5,1,1,0,0,2.412,1.442
2007-01-01 06:00:00,2.878,6,1,1,0,0,2.691,1.554
2007-01-01 07:00:00,2.639,7,1,1,0,0,2.878,1.517
2007-01-01 08:00:00,2.45,8,1,1,0,0,2.639,1.436
2007-01-01 09:00:00,2.762,9,1,1,0,0,2.45,1.535
2007-01-01 10:00:00,2.847,10,1,1,0,0,2.762,1.285
2007-01-01 11:00:00,2.846,11,1,1,0,0,2.847,1.686
2007-01-01 12:00:00,2.716,12,1,1,0,0,2.846,1.71
2007-01-01 13:00:00,2.75,13,1,1,0,0,2.716,1.893
